,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
0,食用油,150.0,159.9,616554,鲁花5S压榨一级花生油5L,6916168616554,山东鲁花集团商贸有限公司西安分公司,桶
1,食用油,72.0,96.0,617322,鲁花特级初榨橄榄油750ml,6916168617322,山东鲁花集团商贸有限公司西安分公司,瓶
2,食用油,98.0,108.9,816122,鲁花低芥酸菜籽油5L,6938749816122,山东鲁花集团商贸有限公司西安分公司,桶
3,食用油,65.0,75.0,920017,鲁花高油酸花生油750ml,6971114920017,山东鲁花集团商贸有限公司西安分公司,瓶
4,调料,10.0,13.9,050129,鲁花芝麻香油180ML,6934230050129,山东鲁花集团商贸有限公司西安分公司,瓶
5,调料,7.2,8.5,062605,鲁花料酒500ml,6931299062605,山东鲁花集团商贸有限公司西安分公司,瓶
6,调料,11.5,14.9,062681,自然鲜酱香酱油500ml,6931299062681,山东鲁花集团商贸有限公司西安分公司,瓶
7,调料,14.0,18.8,100222,鲁花酱香酱油1L,6958104100222,山东鲁花集团商贸有限公司西安分公司,瓶
8,调料,11.5,13.8,100321,自然鲜红烧酱油500ml,6958104100321,山东鲁花集团商贸有限公司西安分公司,瓶
9,调料,13.0,17.8,100680,鲁花黑豆原汁酱油500ml,6958104100680,山东鲁花集团商贸有限公司西安分公司,瓶
10,调料,11.0,12.5,100796,鲁花炒菜香酱油500ml,6958104100796,山东鲁花集团商贸有限公司西安分公司,瓶
11,调料,4.8,6.8,101007,鲁花生鲜蚝油218ml,6958104101007,山东鲁花集团商贸有限公司西安分公司,瓶
12,调料,11.0,14.9,101021,鲁花生鲜蚝油518ml,6958104101021,山东鲁花集团商贸有限公司西安分公司,瓶
13,调料,12.0,16.8,101847,鲁花黑豆老抽酱油500ml,6958104101847,山东鲁花集团商贸有限公司西安分公司,瓶
14,调料,12.0,16.8,101861,鲁花黑豆味极鲜500ml,6958104101861,山东鲁花集团商贸有限公司西安分公司,瓶
15,调料,7.5,9.9,130148,鲁花中麦鸡蛋椭圆挂面600g,6973141130148,山东鲁花集团商贸有限公司西安分公司,袋
16,调料,7.1,9.5,130179,鲁花中麦芯椭圆挂面600g,6973141130179,山东鲁花集团商贸有限公司西安分公司,袋
17,调料,7.4,8.8,261844,鲁花凉拌香醋500ml,6934126261844,山东鲁花集团商贸有限公司西安分公司,瓶
18,调料,6.0,7.5,261899,鲁花9度白醋500ml,6934126261899,山东鲁花集团商贸有限公司西安分公司,瓶
19,调料,11.0,16.9,262346,鲁花黑糯米醋500ml,6934126262346,山东鲁花集团商贸有限公司西安分公司,瓶
20,调料,7.0,9.8,262933,鲁花糯米香醋500ml,6934126262933,山东鲁花集团商贸有限公司西安分公司,瓶
21,调料,25.0,32.9,920178,鲁花小磨香油260ml,6971114920178,山东鲁花集团商贸有限公司西安分公司,瓶
22,副食,39.0,49.9,120088,鲁花麦芯小麦粉5kg,6973141120088,山东鲁花集团商贸有限公司西安分公司,袋
23,副食,12.5,17.9,130070,鲁花鸡蛋挂面600g,6973141130070,山东鲁花集团商贸有限公司西安分公司,袋
24,副食,12.0,16.9,130087,鲁花玉带挂面600g,6973141130087,山东鲁花集团商贸有限公司西安分公司,袋
25,副食,12.0,16.9,130094,鲁花椭圆挂面600g,6973141130094,山东鲁花集团商贸有限公司西安分公司,袋
26,副食,7.5,9.9,130124,鲁花中麦鸡蛋精细挂面600g,6973141130124,山东鲁花集团商贸有限公司西安分公司,袋
27,副食,7.1,9.5,130155,鲁花中麦芯精细挂面600g,6973141130155,山东鲁花集团商贸有限公司西安分公司,袋
28,副食,9.0,11.9,130186,鲁花中麦碱水面800g,6973141130186,山东鲁花集团商贸有限公司西安分公司,袋
29,副食,9.0,11.9,130193,鲁花中麦阳春面800g.,6973141130193,山东鲁花集团商贸有限公司西安分公司,袋
30,副食,9.0,11.9,130209,鲁花中麦龙须面800g,6973141130209,山东鲁花集团商贸有限公司西安分公司,袋
31,副食,9.0,11.9,130216,鲁花中麦鸡蛋面800g,6973141130216,山东鲁花集团商贸有限公司西安分公司,袋
32,大米,62.0,79.9,360006,鲁花生态粳米5kg,6971938360006,山东鲁花集团商贸有限公司西安分公司,袋
33,大米,65.0,79.9,360044,鲁花长粒香米5kg,6971938360044,山东鲁花集团商贸有限公司西安分公司,袋
34,大米,112.0,139.9,360075,鲁花五常大米5kg,6971938360075,山东鲁花集团商贸有限公司西安分公司,袋
35,大米,62.0,73.9,360150,鲁花松嫩源香大米,6971938360150,山东鲁花集团商贸有限公司西安分公司,袋
